,booksim_latency,booksim_power,booksim_leakage_store,pred_latency,pred_energy,pred_power,neurosim_latency,neurosim_energy
0,6813.210405600001,0.568759,0.0,tensor(31734.5996),0.0,tensor(0.4233),663773.8,2782710.0
1,10403.5117984,0.99211,0.133619,tensor(58453.7969),0.0,tensor(0.8354),3035640.8,15641730.0
2,24270.005648000002,0.992343,0.133619,tensor(114344.2266),0.0,tensor(0.8537),2736447.0,15117770.0
3,6503.5604032,0.9914700000000001,0.133619,tensor(46038.9180),0.0,tensor(0.8217),1254049.2,7341370.0
4,9103.528,0.9919899999999999,0.133619,tensor(54350.6836),0.0,tensor(0.8297),1396729.4,8352280.0
5,9103.528,0.9915039999999999,0.133619,tensor(54350.6836),0.0,tensor(0.8297),1396729.4,8323570.0
6,9103.528,0.9919899999999999,0.133619,tensor(54350.6836),0.0,tensor(0.8297),1027599.2999999999,5959942.0
7,2386.9450416,0.9893430000000001,0.133619,tensor(33216.4219),0.0,tensor(0.8065),438269.6,2645082.0
8,3035.8965376000006,0.84567,0.133619,tensor(37022.5195),0.0,tensor(0.8089),465791.0,2744200.0
9,3039.0177472,1.271496,0.133619,tensor(37022.5195),0.0,tensor(0.8089),465791.0,2761090.0
10,3039.0177472000005,1.273509,0.133619,tensor(37022.5195),0.0,tensor(0.8089),465791.0,2763560.0
11,3039.0177472,1.271496,0.133619,tensor(37022.5195),0.0,tensor(0.8089),465791.0,2758100.0
12,3039.0177472000005,1.273509,0.133619,tensor(37022.5195),0.0,tensor(0.8089),353972.92,2211687.0
13,872.3780832000001,1.2647650000000001,0.133619,tensor(11727.6416),0.0,tensor(0.8010),163580.15,1461252.0
14,1526.0113936000002,1.407962,0.133619,tensor(28470.5195),0.0,tensor(0.9080),194084.96,1887150.0
15,1522.3699824,1.265741,0.133619,tensor(22383.2324),0.0,tensor(0.8033),194084.96,1896150.0
16,2167.289916,1.3816570000000001,0.133619,tensor(28470.5195),0.0,tensor(0.9080),194084.96,1895370.0
17,1524.4507888000003,1.54312,0.133619,tensor(22383.2324),0.0,tensor(0.8033),194084.96,1887790.0
18,1528.0922,1.6843949999999999,0.133619,tensor(28470.5195),0.0,tensor(0.9080),194084.96,1894680.0
19,1524.4507888000003,1.54312,0.133619,tensor(22383.2324),0.0,tensor(0.8033),194084.96,1899330.0
20,1528.0922,1.6843949999999999,0.133619,tensor(28470.5195),0.0,tensor(0.9080),207889.51,2301519.0
21,1632.7827720000003,1.5485959999999999,0.133619,tensor(23760.8867),0.0,tensor(0.8037),223809.88,3776616.0
22,3253.3408064000005,1.666446,0.133619,tensor(44012.4492),0.0,tensor(0.9099),255952.2,4394124.0
23,2284.8554776,1.828338,0.133619,tensor(31981.2793),0.0,tensor(0.8061),255952.2,4397454.0
24,2288.4968888000003,1.9708040000000002,0.133619,tensor(44012.4492),0.0,tensor(0.9099),255952.2,4398794.0
25,2284.8554776,1.828338,0.133619,tensor(31981.2793),0.0,tensor(0.8061),255952.2,4395304.0
26,2288.4968888000003,1.9708040000000002,0.133619,tensor(44012.4492),0.0,tensor(0.9099),165062.12,3258184.0
27,634.2558008000001,1.7942879999999999,0.133619,tensor(8614.0957),0.0,tensor(0.8001),74648.4,2303451.0
28,1237.2995056000002,2.11279,0.133619,tensor(27602.7832),0.0,tensor(1.0215),91951.56,2808078.0
29,961.3325568,2.065638,0.133619,tensor(14031.2568),0.0,tensor(0.8013),91951.56,2806418.0
30,1219.872752,2.3144400000000003,0.133619,tensor(27602.7832),0.0,tensor(1.0215),91951.56,2804338.0
31,961.3325568,2.065638,0.133619,tensor(14031.2568),0.0,tensor(0.8013),91951.56,2815068.0
32,961.2025064000001,3.20578,0.133619,tensor(27602.7832),0.0,tensor(1.0215),113512.5,4368885.0
33,1098.5357288,2.36899,0.133619,tensor(16246.6992),0.0,tensor(0.8018),112349.78000000001,6308964.0
0,6011.7097904,0.592913,0.0,tensor(31571.7832),0.0,tensor(0.4291),748793.0,2782690.0
1,9179.8675848,1.033226,0.131239,tensor(57919.6719),0.0,tensor(0.8453),3327256.0,15641670.0
2,21415.009216800005,1.033481,0.131239,tensor(113859.5156),0.0,tensor(0.8667),2996498.3,15117730.0
3,5738.7340008,1.032508,0.131239,tensor(44656.0469),0.0,tensor(0.8297),1409252.1,7341370.0
4,8032.823056800001,1.033069,0.131239,tensor(53179.9922),0.0,tensor(0.8396),1577099.6,8351260.0
5,8032.8230568,1.032548,0.131239,tensor(53179.9922),0.0,tensor(0.8396),1577099.6,8322540.0
6,8032.823056800001,1.033069,0.131239,tensor(53179.9922),0.0,tensor(0.8396),1149916.9000000001,5959688.0
7,2106.4263288,1.0301209999999998,0.131239,tensor(31558.7812),0.0,tensor(0.8129),485072.4,2644840.0
8,2679.03824,0.879418,0.131239,tensor(36094.9805),0.0,tensor(0.8155),517659.6,2743954.0
9,2681.7692984,1.3256299999999999,0.131239,tensor(36094.9805),0.0,tensor(0.8155),517659.6,2760844.0
10,2681.7692984,1.327772,0.131239,tensor(36094.9805),0.0,tensor(0.8155),517659.6,2763314.0
11,2681.7692984,1.3256299999999999,0.131239,tensor(36094.9805),0.0,tensor(0.8155),517659.6,2757854.0
12,2681.7692984,1.327772,0.131239,tensor(36094.9805),0.0,tensor(0.8155),388351.19,2211627.0
13,770.0284184000001,1.318246,0.131239,tensor(10702.1777),0.0,tensor(0.8067),170116.52,1461181.0
14,1346.5418416000002,1.469062,0.131239,tensor(25774.7734),0.0,tensor(0.9255),205357.26,1887072.0
15,1343.5506824,1.319336,0.131239,tensor(21121.1816),0.0,tensor(0.8094),205357.26,1896082.0
16,1760.1021136000002,1.445824,0.131239,tensor(25774.7734),0.0,tensor(0.9255),205357.26,1895312.0
17,1345.371388,1.609762,0.131239,tensor(21121.1816),0.0,tensor(0.8094),205357.26,1887732.0
18,1348.3625472,1.758565,0.131239,tensor(25774.7734),0.0,tensor(0.9255),205357.26,1894622.0
19,1345.371388,1.609762,0.131239,tensor(21121.1816),0.0,tensor(0.8094),205357.26,1899262.0
20,1348.3625472,1.758565,0.131239,tensor(25774.7734),0.0,tensor(0.9255),219117.43,2301446.0
21,1440.9584320000001,1.6156700000000002,0.131239,tensor(22266.8008),0.0,tensor(0.8098),238085.7,3776554.0
22,2639.8930696,1.744041,0.131239,tensor(35574.3867),0.0,tensor(0.9277),284741.8,4393928.0
23,2016.3014016000002,1.9086790000000002,0.131239,tensor(30169.7910),0.0,tensor(0.8124),284741.8,4397248.0
24,2019.2925608000003,2.05863,0.131239,tensor(35574.3867),0.0,tensor(0.9277),284741.8,4398588.0
25,2016.3014016000002,1.9086790000000002,0.131239,tensor(30169.7910),0.0,tensor(0.8124),284741.8,4395108.0
26,2019.2925608000003,2.05863,0.131239,tensor(35574.3867),0.0,tensor(0.9277),182425.03,4421070.0
27,559.7369216000001,1.873192,0.131239,tensor(8245.7529),0.0,tensor(0.8057),88717.70000000001,3474533.0
28,1538.8863832,2.33122,0.131239,tensor(34012.0430),0.0,tensor(1.1776),105011.23999999999,3931694.0
29,848.3187592,2.15747,0.131239,tensor(12228.4453),0.0,tensor(0.8070),105011.23999999999,3930034.0
30,1523.8005368000001,2.50549,0.131239,tensor(34012.0430),0.0,tensor(1.1776),105011.23999999999,3927444.0
31,847.4084064000001,2.019745,0.131239,tensor(12228.4453),0.0,tensor(0.8070),105011.23999999999,3938164.0
32,1500.6515656000001,2.78555,0.131239,tensor(34012.0430),0.0,tensor(1.1776),98569.03,6322827.0
33,972.2567904,2.6239600000000003,0.131239,tensor(14437.3662),0.0,tensor(0.9267),97608.68000000001,8271000.0
0,5210.339225600001,0.510857,0.0,tensor(30647.0293),0.0,tensor(0.3686),675697.8,2334560.0
