,booksim_latency,booksim_power,booksim_leakage_store,pred_latency,pred_energy,pred_power,neurosim_latency,neurosim_energy
0,7212.855284800001,0.407422,0.0,tensor(56877.7305),0.0,tensor(0.2666),580912.29,570766.0
1,2216.9691688000003,0.7043250000000001,0.203704,tensor(30062.6543),0.0,tensor(0.5185),1501755.58,2211362.0
2,7436.1518216,1.1667580000000002,0.407408,tensor(68519.4297),0.0,tensor(0.8294),4110629.29,8086271.0
3,3987.2152136000004,0.7044600000000001,0.203704,tensor(37386.6289),0.0,tensor(0.5298),1928286.29,2804321.0
4,7436.1518216,1.1667580000000002,0.407408,tensor(68519.4297),0.0,tensor(0.8294),3293154.6999999997,7446815.0
5,1070.5748928,0.702037,0.203704,tensor(20568.4238),0.0,tensor(0.5014),543062.22,1381826.0
6,4942.825552800001,1.421815,0.407408,tensor(64901.0273),0.0,tensor(1.0320),1305841.8900000001,6715656.0
7,1924.8759704000001,0.9052929999999999,0.203704,tensor(26255.2520),0.0,tensor(0.5139),780131.01,1873774.0
8,12659.496087200001,1.845765,0.407408,tensor(64901.0273),0.0,tensor(1.0320),908591.42,6036779.0
9,474.81401040000003,0.8926430000000001,0.203704,tensor(9474.1084),0.0,tensor(0.4913),217533.25,679380.6
10,9148.9155896,1.9656179999999999,0.407408,tensor(33232.7266),0.0,tensor(1.2218),312659.86,2660816.6
11,452.4453416,1.2054610000000001,0.203704,tensor(9583.0801),0.0,tensor(0.5911),205686.17,967936.6
12,4691.6982304,2.155672,0.407408,tensor(33232.7266),0.0,tensor(1.2218),320435.72,2944896.6
13,502.9048968000001,1.4091200000000002,0.203704,tensor(9733.7930),0.0,tensor(0.5915),217079.03999999998,1387697.0
14,243156.27328320002,2.7026179999999997,0.407408,tensor(29474.5020),0.0,tensor(1.6104),351374.36,4672867.0
15,603.9540576,1.808107,0.203704,tensor(10564.4551),0.0,tensor(0.5930),226388.95,1391180.0
16,11651.7355376,3.511667,0.407408,tensor(29474.5020),0.0,tensor(1.6104),638906.27,18169094.0
0,8815.3363136,0.396045,0.0,tensor(57460.0938),0.0,tensor(0.3006),396886.8,605177.0
1,2708.9498320000002,0.6846920000000001,0.14244,tensor(31751.4043),0.0,tensor(0.5412),1055426.6,2303854.0
2,9087.791901600001,1.134242,0.28488,tensor(71227.7344),0.0,tensor(0.8569),3155538.7,13041167.0
3,4872.4682864,0.6848110000000001,0.14244,tensor(38344.7852),0.0,tensor(0.5540),1338950.1,2918027.0
4,9087.791901600001,1.134242,0.28488,tensor(71227.7344),0.0,tensor(0.8569),2571536.18,12315347.0
5,1307.6567720000003,0.682728,0.14244,tensor(22696.3008),0.0,tensor(0.5265),405132.96,1428966.0
6,4070.8376208000004,1.283035,0.28488,tensor(75466.7812),0.0,tensor(0.9226),1067569.88,8114313.0
7,2351.8314336000003,0.8823639999999999,0.14244,tensor(28148.3633),0.0,tensor(0.5368),582248.58,1931367.0
8,5847.716236,1.684099,0.28488,tensor(75466.7812),0.0,tensor(0.9226),792191.3400000001,7669474.0
9,579.5045824000001,0.871112,0.14244,tensor(10137.3643),0.0,tensor(0.5171),182420.85,981822.0
10,2457.95256,1.696358,0.28488,tensor(49233.2969),0.0,tensor(1.0292),311043.55000000005,3185482.0
11,822.5687800000001,1.064696,0.14244,tensor(13805.5332),0.0,tensor(0.5202),211349.93000000002,1039908.0
12,1500.3914648000002,2.186512,0.28488,tensor(49233.2969),0.0,tensor(1.0292),317378.26,3535430.0
13,854.0409768000001,1.26487,0.14244,tensor(14815.3105),0.0,tensor(0.5207),218016.73,1518582.0
14,8014.616000800001,2.794153,0.28488,tensor(32506.6973),0.0,tensor(1.3075),299806.15,6233264.0
15,736.4754152,1.573534,0.14244,tensor(9770.9385),0.0,tensor(0.5861),197514.81,2533629.0
16,2418.8073896,3.104514,0.28488,tensor(32506.6973),0.0,tensor(1.3075),425867.23,25852438.0
0,8815.3363136,0.454169,0.0,tensor(58086.3203),0.0,tensor(0.3563),257674.29,622375.0
1,2708.9498320000002,0.78376,0.0930417,tensor(32505.0625),0.0,tensor(0.6054),646523.58,2350090.0
2,9087.791901600001,1.2999809999999998,0.1860834,tensor(71865.1250),0.0,tensor(0.9823),1683704.29,8398649.0
3,4872.4682864,0.783902,0.0930417,tensor(37607.9258),0.0,tensor(0.6272),830794.29,2974869.0
4,9087.791901600001,1.2999809999999998,0.1860834,tensor(71865.1250),0.0,tensor(0.9823),1324991.7000000002,7700630.0
