,booksim_latency,booksim_power,booksim_leakage_store,pred_latency,pred_energy,pred_power,neurosim_latency,neurosim_energy
0,10417.817342400002,0.521963,0.0,tensor(58279.0234),0.0,tensor(0.3973),348492.0,1398148.0
1,3200.9304952,0.9054030000000001,0.124101,tensor(34006.4297),0.0,tensor(0.7131),872136.0,5617896.0
2,10739.301931200001,1.496405,0.248202,tensor(73962.8281),0.0,tensor(1.1297),2385841.6,19806698.0
3,5757.721359200001,0.905552,0.124101,tensor(39312.1172),0.0,tensor(0.7293),1125577.8,7046148.0
4,10739.301931200001,1.496405,0.248202,tensor(73962.8281),0.0,tensor(1.1297),1858959.59,18337812.0
5,1544.7386512000003,0.903049,0.124101,tensor(23901.0645),0.0,tensor(0.7013),326504.58,3455238.0
6,6909.8378528,1.909948,0.248202,tensor(77223.1562),0.0,tensor(1.3058),901547.99,21029279.0
7,2778.7868968000002,1.1649150000000001,0.124101,tensor(30840.7988),0.0,tensor(0.7098),474587.69000000006,4631630.0
8,6910.0979536,2.211937,0.248202,tensor(77223.1562),0.0,tensor(1.3058),643096.4600000001,19387742.0
9,683.414852,1.021957,0.124101,tensor(9600.5234),0.0,tensor(0.6947),129077.37,1653834.0
10,3845.4602776,2.8565,0.248202,tensor(50514.0117),0.0,tensor(1.4506),271836.55000000005,9791285.0
11,971.4764880000001,1.4054039999999999,0.124101,tensor(15907.5312),0.0,tensor(0.6969),181042.52000000002,4155839.0
12,2412.6950208000003,2.683677,0.248202,tensor(50514.0117),0.0,tensor(1.4506),277147.55000000005,9820892.0
13,1008.6709024,1.667953,0.124101,tensor(17041.7617),0.0,tensor(0.6972),187987.89,4500146.0
14,2675.9170304,3.1624309999999998,0.248202,tensor(41916.7773),0.0,tensor(1.7317),313295.83999999997,13177118.0
15,1295.952236,1.9220480000000002,0.124101,tensor(21570.0312),0.0,tensor(0.6993),214368.43,4507551.0
16,2682.5496008,3.5444699999999996,0.248202,tensor(41916.7773),0.0,tensor(1.7317),252402.98,52200767.0
0,12020.2983712,0.516831,0.0,tensor(58440.5977),0.0,tensor(0.4003),327847.2,1398975.0
1,3692.9111584,0.898064,0.127274,tensor(36924.3906),0.0,tensor(0.7322),923129.3999999999,5622050.0
2,12390.811960800002,1.482513,0.254548,tensor(77203.9688),0.0,tensor(1.1497),2264853.3,19814525.0
3,6642.974432000001,0.8982,0.127274,tensor(41929.7656),0.0,tensor(0.7458),1132045.2,7050305.0
